,shap_value
coolant_ewma_620,0.043034074609434675
coolant_ewma_2915,0.009971173211018935
S_el_ewma_620,0.008372559479322379
motor_speed_ewma_620,0.006803164909720354
coolant,0.006509228060065149
i_d_ewma_620,0.005231783395665658
S_x_w_ewms_2915,0.00492728590149448
ambient,0.004161203470675521
ambient_ewma_8825,0.004140289943297594
u_d_ewma_4487,0.0039915217787059405
S_x_w_ewma_620,0.0033344306845284727
i_q_ewma_620,0.003312109959983047
S_el_ewms_620,0.0033103995710777575
i_q_ewms_2915,0.0032761031868144223
torque_ewma_4487,0.0031564822967055663
i_q_ewms_8825,0.0030588663321471747
P_el_ewms_2915,0.003056587441037932
i_d_ewma_2915,0.003050947281871907
u_d_ewma_2915,0.003013364911403857
i_d_ewma_4487,0.0029693854010766074
coolant_ewma_4487,0.0028930669310485908
S_el_ewma_8825,0.002853003130442334
i_q,0.00285288830082259
profile_id,0.002850132414297703
i_s_x_w,0.0027136830052361498
motor_speed,0.0026839397501842396
u_d_ewma_8825,0.002537535240070681
S_el_ewms_4487,0.0025049235781903563
S_x_w_ewma_8825,0.002388603070394398
i_d_ewma_8825,0.0023883090324777994
coolant_ewma_8825,0.002352305701815098
S_el_ewms_2915,0.002328113906466288
torque_ewma_8825,0.002321066798478796
coolant_ewms_8825,0.0023085942735517383
ambient_ewma_4487,0.0022353130443486338
S_x_w_ewma_2915,0.002146871896550203
i_s_x_w_ewma_2915,0.0021123638334436157
motor_speed_ewma_4487,0.0020904744163599406
i_s_x_w_ewms_620,0.0019618442650737623
i_s_x_w_ewma_620,0.0018415391077785742
P_el_ewma_4487,0.001814279939924288
torque_ewma_620,0.001759404764719164
S_el_ewma_2915,0.0017584708811717008
i_s_ewma_620,0.0017528601761006605
S_el_ewma_4487,0.0017442900765454912
i_s_ewms_4487,0.0017403134189297213
profile_id_ewms_620,0.0017123808952647615
i_s_x_w_ewms_4487,0.001706107795476981
P_el_ewms_620,0.0015921421416837899
torque_ewms_8825,0.0015336079060192305
i_s_x_w_ewma_4487,0.0015263323841120317
P_el_ewma_8825,0.0015006500667227882
ambient_ewma_2915,0.0014949714523893023
i_s_ewms_8825,0.0014733965084802207
profile_id_ewma_4487,0.0014549049473393401
i_s_ewms_620,0.0014520832892085758
i_q_ewms_620,0.0014164855370238957
S_x_w,0.0014103786477154961
motor_speed_ewms_4487,0.0014045893958207864
P_el_ewms_8825,0.0013806299124914621
torque_ewma_2915,0.001368470062870503
P_el,0.0013378573807181619
i_q_ewma_8825,0.0012777129216297019
profile_id_ewma_620,0.0012666034387871963
i_s,0.0012557103805407172
torque,0.0012258934391663708
ambient_ewma_620,0.0012192348834831536
coolant_ewms_620,0.001211327303255761
u_s,0.0012108438175723543
u_d_ewma_620,0.0011958885609632997
motor_speed_ewms_8825,0.0011000056328085682
P_el_ewma_620,0.0010848410773390343
i_s_x_w_ewma_8825,0.0010758220791161417
profile_id_ewma_2915,0.0010672122053409705
u_s_ewms_8825,0.0010584704692976445
motor_speed_ewma_8825,0.001000930809777196
coolant_ewms_2915,0.0009951015475640548
i_s_x_w_ewms_2915,0.0009703818569319797
i_s_x_w_ewms_8825,0.0009344786013022463
motor_speed_ewms_620,0.000933102448776295
i_d_ewms_4487,0.0008733434656209331
i_s_ewms_2915,0.0008572371332947956
torque_ewms_4487,0.0008519834019907952
i_d_ewms_2915,0.0008420625725240591
i_q_ewma_4487,0.0008411348035380019
i_d_ewms_620,0.0008060799663181101
ambient_ewms_620,0.0008007247045280866
u_q_ewms_8825,0.0007882885406293791
u_s_ewma_4487,0.0007677729927819344
P_el_ewma_2915,0.0007610565679376999
S_x_w_ewms_4487,0.0007414233631620915
u_s_ewms_620,0.0007261620167575972
i_s_ewma_8825,0.0007084894293823025
u_q_ewms_2915,0.0006999723863289779
i_d,0.0006868366120380648
u_d_ewms_2915,0.0006824754074680484
u_s_ewma_620,0.0006706159168368024
coolant_ewms_4487,0.000660353066210692
profile_id_ewma_8825,0.0006366899883304462
S_el_ewms_8825,0.0006163262228982118
S_x_w_ewma_4487,0.0005751152161748949
u_q,0.000550663388964669
u_q_ewms_620,0.00054501861578673
profile_id_ewms_8825,0.0005423879478372243
u_d_ewms_8825,0.0005288649554295713
S_el,0.0004965802024155592
u_d_ewms_4487,0.00048673626877681063
ambient_ewms_4487,0.0004840246131804368
u_q_ewma_2915,0.00046973260062361746
S_x_w_ewms_8825,0.0004641196924334385
u_s_ewms_2915,0.0004082020779598885
i_d_ewms_8825,0.00040667224914109655
u_d_ewms_620,0.0003941715713152624
u_d,0.0003924964478346833
S_x_w_ewms_620,0.00038992996293284735
u_q_ewma_4487,0.0003813801299080268
u_s_ewma_2915,0.0003757420847956568
u_q_ewms_4487,0.0003755817468564046
u_s_ewma_8825,0.0003651614986129787
i_s_ewma_2915,0.00036193037153762445
torque_ewms_620,0.000359552710250237
i_q_ewma_2915,0.0003570804172223763
ambient_ewms_2915,0.0003534115259698327
P_el_ewms_4487,0.0003419680135149762
torque_ewms_2915,0.00031213979720316423
profile_id_ewms_2915,0.0002986337093528576
i_q_ewms_4487,0.0002647265245048895
u_q_ewma_8825,0.00026241467493772397
motor_speed_ewma_2915,0.0002453541649898102
motor_speed_ewms_2915,0.00021670430668508005
u_q_ewma_620,0.00019201084967867535
ambient_ewms_8825,0.00017569938960343442
u_s_ewms_4487,7.748770835228355e-05
profile_id_ewms_4487,6.41848430847027e-05
i_s_ewma_4487,6.351935952091015e-05
